球団名,No.,投手,生年月日,身長,体重,投,打,備考,ポジション,区分,更新日,背番号,1軍
読売ジャイアンツ,11,田中 将大,1988.11.01,188,102,右,右,,投手,支配下,2026/4/7,11,
読売ジャイアンツ,15,大勢,1999.06.29,183,90,右,右,,投手,支配下,2026/4/7,15,TRUE
読売ジャイアンツ,17,西舘 勇陽,2002.03.11,185,88,右,右,,投手,支配下,2026/4/7,17,
読売ジャイアンツ,19,山﨑 伊織,1998.10.10,181,81,右,左,,投手,支配下,2026/4/7,19,
読売ジャイアンツ,20,戸郷 翔征,2000.04.04,187,85,右,右,,投手,支配下,2026/4/7,20,TRUE
読売ジャイアンツ,21,竹丸 和幸,2002.02.26,179,76,左,左,,投手,支配下,2026/4/7,21,TRUE
読売ジャイアンツ,26,ウィットリー,1997.09.15,201,94,右,右,,投手,支配下,2026/4/7,26,
読売ジャイアンツ,28,ハワード,1996.07.28,190,95,右,右,,投手,支配下,2026/4/7,28,
読売ジャイアンツ,30,田和 廉,2003.05.02,183,87,右,右,,投手,支配下,2026/4/7,30,TRUE
読売ジャイアンツ,31,赤星 優志,1999.07.02,175,82,右,右,,投手,支配下,2026/4/7,31,TRUE
読売ジャイアンツ,36,山城 京平,2003.09.20,174,70,左,左,,投手,支配下,2026/4/7,36,
読売ジャイアンツ,41,中川 皓太,1994.02.24,183,86,左,左,,投手,支配下,2026/4/7,41,TRUE
読売ジャイアンツ,42,マタ,1999.05.03,190,101,右,右,,投手,支配下,2026/4/7,42,
読売ジャイアンツ,43,則本 昂大,1990.12.17,178,89,右,左,,投手,支配下,2026/4/7,43,
読売ジャイアンツ,45,田中 瑛斗,1999.07.13,184,84,右,左,,投手,支配下,2026/4/7,45,TRUE
読売ジャイアンツ,46,又木 鉄平,1999.02.12,182,95,左,左,,投手,支配下,2026/4/7,46,
読売ジャイアンツ,47,森田 駿哉,1997.02.11,185,88,左,左,,投手,支配下,2026/4/7,47,
読売ジャイアンツ,48,ルシアーノ,2000.02.15,190,95,右,右,3/24 育成選手から支配下選手へ移行,投手,支配下,2026/4/7,48,
読売ジャイアンツ,49,バルドナード,1993.02.01,196,122,左,左,,投手,支配下,2026/4/7,49,
読売ジャイアンツ,53,高梨 雄平,1992.07.13,175,86,左,左,,投手,支配下,2026/4/7,53,TRUE
読売ジャイアンツ,54,松浦 慶斗,2003.07.01,187,100,左,左,,投手,支配下,2026/4/7,54,
読売ジャイアンツ,56,北浦 竜次,2000.01.12,184,103,左,左,,投手,支配下,2026/4/7,56,
読売ジャイアンツ,57,宮原 駿介,2002.09.12,174,85,左,左,,投手,支配下,2026/4/7,57,
読売ジャイアンツ,58,船迫 大雅,1996.10.16,174,80,右,左,,投手,支配下,2026/4/7,58,TRUE
読売ジャイアンツ,62,横川 凱,2000.08.30,190,98,左,左,,投手,支配下,2026/4/7,62,
読売ジャイアンツ,63,泉 圭輔,1997.03.02,188,87,右,右,,投手,支配下,2026/4/7,63,
読売ジャイアンツ,64,山田 龍聖,2000.09.07,184,92,左,左,,投手,支配下,2026/4/7,64,
読売ジャイアンツ,65,石川 達也,1998.04.15,178,83,左,右,,投手,支配下,2026/4/7,65,
読売ジャイアンツ,66,平内 龍太,1998.08.01,185,95,右,右,,投手,支配下,2026/4/7,66,
読売ジャイアンツ,91,堀田 賢慎,2001.05.21,186,90,右,右,,投手,支配下,2026/4/7,91,TRUE
読売ジャイアンツ,92,マルティネス,1996.10.11,193,93,右,左,,投手,支配下,2026/4/7,92,TRUE
読売ジャイアンツ,97,井上 温大,2001.05.13,176,86,左,左,,投手,支配下,2026/4/7,97,TRUE
読売ジャイアンツ,98,小笠原 慎之介,1997.10.08,180,93,左,左,6/18 支配下選手登録,投手,支配下,2026/4/7,98,
読売ジャイアンツ,10,甲斐 拓也,1992.11.05,170,87,右,右,,捕手,支配下,2026/4/7,10,TRUE
読売ジャイアンツ,22,小林 誠司,1989.06.07,178,86,右,右,,捕手,支配下,2026/4/7,22,TRUE
読売ジャイアンツ,24,大城 卓三,1993.02.11,187,97,右,左,,捕手,支配下,2026/4/7,24,TRUE
読売ジャイアンツ,27,岸田 行倫,1996.10.10,176,90,右,右,,捕手,支配下,2026/4/7,27,TRUE
読売ジャイアンツ,37,郡 拓也,1998.04.25,179,88,右,右,,捕手,支配下,2026/4/7,37,
読売ジャイアンツ,67,山瀬 慎之助,2001.05.04,177,89,右,右,,捕手,支配下,2026/4/7,67,
読売ジャイアンツ,0,湯浅 大,2000.01.24,172,73,右,右,,内野手,支配下,2026/4/7,0,
読売ジャイアンツ,0,増田 大輝,1993.07.29,172,71,右,右,,内野手,支配下,2026/4/7,0,TRUE
読売ジャイアンツ,2,吉川 尚輝,1995.02.08,177,82,右,左,,内野手,支配下,2026/4/7,2,
読売ジャイアンツ,5,門脇 誠,2001.01.24,172,75,右,左,,内野手,支配下,2026/4/7,5,TRUE
読売ジャイアンツ,6,坂本 勇人,1988.12.14,186,86,右,右,,内野手,支配下,2026/4/7,6,TRUE
読売ジャイアンツ,23,石塚 裕惺,2006.04.06,182,94,右,右,,内野手,支配下,2026/4/7,23,
読売ジャイアンツ,29,ダルベック,1995.06.29,191,102,右,右,,内野手,支配下,2026/4/7,29,TRUE
読売ジャイアンツ,32,浦田 俊輔,2002.08.30,171,67,右,左,,内野手,支配下,2026/4/7,32,TRUE
読売ジャイアンツ,33,小濱 佑斗,2001.10.05,180,86,右,右,,内野手,支配下,2026/4/7,33,TRUE
読売ジャイアンツ,35,泉口 友汰,1999.05.17,178,84,右,左,,内野手,支配下,2026/4/7,35,TRUE
読売ジャイアンツ,52,リチャード,1999.06.18,189,120,右,右,,内野手,支配下,2026/4/7,52,
読売ジャイアンツ,60,荒巻 悠,2002.12.23,184,100,右,左,,内野手,支配下,2026/4/7,60,
読売ジャイアンツ,61,増田 陸,2000.06.17,179,92,右,右,,内野手,支配下,2026/4/7,61,
読売ジャイアンツ,68,宇都宮 葵星,2004.06.23,175,70,右,左,3/24 育成選手から支配下選手へ移行,内野手,支配下,2026/4/7,68,
読売ジャイアンツ,69,平山 功太,2004.03.16,185,82,右,右,4/6 育成選手から支配下選手へ移行,内野手,支配下,2026/4/7,69,
読売ジャイアンツ,99,藤井 健翔,2007.08.15,181,96,右,右,,内野手,支配下,2026/4/7,99,
読売ジャイアンツ,8,丸 佳浩,1989.04.11,177,94,右,左,,外野手,支配下,2026/4/7,8,TRUE
読売ジャイアンツ,9,松本 剛,1993.08.11,180,83,右,右,,外野手,支配下,2026/4/7,9,TRUE
読売ジャイアンツ,12,萩尾 匡也,2000.12.28,180,85,右,右,,外野手,支配下,2026/4/7,12,
読売ジャイアンツ,13,キャベッジ,1997.05.03,188,92,右,左,,外野手,支配下,2026/4/7,13,TRUE
読売ジャイアンツ,38,岡田 悠希,2000.01.19,184,86,右,左,,外野手,支配下,2026/4/7,38,
読売ジャイアンツ,39,皆川 岳飛,2003.04.30,182,88,右,左,,外野手,支配下,2026/4/7,39,
読売ジャイアンツ,40,中山 礼都,2002.04.12,182,90,右,左,,外野手,支配下,2026/4/7,40,TRUE
読売ジャイアンツ,44,佐々木 俊輔,1999.11.06,174,80,右,左,,外野手,支配下,2026/4/7,44,
読売ジャイアンツ,50,ティマ,2004.09.25,194,106,右,右,5/25 育成選手から支配下選手へ移行,外野手,支配下,2026/4/7,50,
読売ジャイアンツ,51,浅野 翔吾,2004.11.24,172,89,右,右,,外野手,支配下,2026/4/7,51,TRUE
読売ジャイアンツ,59,若林 楽人,1998.04.13,178,83,右,右,,外野手,支配下,2026/4/7,59,
読売ジャイアンツ,95,笹原 操希,2004.02.09,180,86,右,右,6/25 育成選手から支配下選手へ移行,外野手,支配下,2026/4/7,95,
読売ジャイアンツ,96,三塚 琉生,2004.05.10,182,93,左,左,,外野手,支配下,2026/4/7,96,
読売ジャイアンツ,11,冨重 英二郎,2001.06.01,178,82,左,左,,投手,育成,2026/4/7,011,
読売ジャイアンツ,12,林 燦,2003.04.22,183,85,右,右,,投手,育成,2026/4/7,012,
読売ジャイアンツ,14,堀江 正太郎,2006.10.08,187,96,右,右,,投手,育成,2026/4/7,014,
読売ジャイアンツ,15,鈴木 圭晋,2006.07.09,183,89,右,左,,投手,育成,2026/4/7,015,
読売ジャイアンツ,16,千葉 隆広,2005.05.15,174,85,左,左,,投手,育成,2026/4/7,016,
読売ジャイアンツ,18,木下 幹也,2002.05.01,186,100,右,右,,投手,育成,2026/4/7,018,
読売ジャイアンツ,19,園田 純規,2005.07.07,184,80,右,右,,投手,育成,2026/4/7,019,
読売ジャイアンツ,21,松井 颯,2000.09.14,180,85,右,右,,投手,育成,2026/4/7,021,
読売ジャイアンツ,23,田村 朋輝,2004.04.06,184,88,右,右,,投手,育成,2026/4/7,023,
読売ジャイアンツ,26,吉村 優聖歩,2004.12.08,181,84,左,左,,投手,育成,2026/4/7,026,
読売ジャイアンツ,28,富田 龍,1999.11.11,179,85,左,左,,投手,育成,2026/4/7,028,
読売ジャイアンツ,29,西川 歩,2006.11.15,169,78,左,左,,投手,育成,2026/4/7,029,
読売ジャイアンツ,30,吹田 志道,2007.02.21,189,92,右,右,,投手,育成,2026/4/7,030,
読売ジャイアンツ,34,森本 哲星,2004.09.03,176,79,左,左,,投手,育成,2026/4/7,034,
読売ジャイアンツ,41,黄 錦豪,2005.12.04,184,77,左,左,,投手,育成,2026/4/7,041,
読売ジャイアンツ,42,グズマン,2006.12.30,189,90,左,左,,投手,育成,2026/4/7,042,
読売ジャイアンツ,47,河野 優作,2003.07.03,180,90,左,左,,投手,育成,2026/4/7,047,
読売ジャイアンツ,50,板東 湧梧,1995.12.27,182,78,右,右,,投手,育成,2026/4/7,050,
読売ジャイアンツ,63,花田 侑樹,2003.06.25,181,78,右,左,,投手,育成,2026/4/7,063,
読売ジャイアンツ,68,代木 大和,2003.09.08,184,100,左,左,3/31 ハヤテへ派遣（3/31～6/24）,投手,育成,2026/4/7,068,
読売ジャイアンツ,77,石田 隼都,2003.04.05,183,92,左,左,,投手,育成,2026/4/7,077,
読売ジャイアンツ,90,石田 充冴,2006.07.21,192,90,右,右,,投手,育成,2026/4/7,090,
読売ジャイアンツ,99,京本 眞,2004.02.06,190,91,右,右,,投手,育成,2026/4/7,099,
読売ジャイアンツ,6,松井 蓮太朗,2007.08.03,176,79,右,左,,捕手,育成,2026/4/7,006,
読売ジャイアンツ,20,喜多 隆介,1998.08.25,179,93,右,右,,捕手,育成,2026/4/7,020,
読売ジャイアンツ,22,亀田 啓太,1999.04.09,185,97,右,右,,捕手,育成,2026/4/7,022,
読売ジャイアンツ,24,坂本 達也,2002.08.31,173,76,右,右,,捕手,育成,2026/4/7,024,
読売ジャイアンツ,2,中田 歩夢,2004.06.27,172,77,右,右,,内野手,育成,2026/4/7,002,
読売ジャイアンツ,4,村山 源,2005.06.27,180,73,右,右,,内野手,育成,2026/4/7,004,
読売ジャイアンツ,5,田上 優弥,2005.06.08,180,90,右,右,,内野手,育成,2026/4/7,005,
読売ジャイアンツ,25,竹下 徠空,2006.11.12,183,115,右,右,,内野手,育成,2026/4/7,025,
読売ジャイアンツ,27,北村 流音,2005.02.20,174,78,右,右,,内野手,育成,2026/4/7,027,
読売ジャイアンツ,67,川原田 純平,2002.05.21,168,70,右,右,,内野手,育成,2026/4/7,067,
読売ジャイアンツ,1,鈴木 大和,1999.04.27,173,73,右,右,,外野手,育成,2026/4/7,001,
読売ジャイアンツ,3,知念 大成,2000.04.27,181,85,左,左,,外野手,育成,2026/4/7,003,
読売ジャイアンツ,8,相澤 白虎,2004.05.28,178,84,右,右,,外野手,育成,2026/4/7,008,
読売ジャイアンツ,49,フェリス,2002.09.07,200,127,左,左,,外野手,育成,2026/4/7,049,
阪神タイガース,13,岩崎 優,1991.06.19,185,92,左,左,,投手,支配下,2026/4/7,13,TRUE
阪神タイガース,14,岩貞 祐太,1991.09.05,183,86,左,左,,投手,支配下,2026/4/7,14,
阪神タイガース,16,西 勇輝,1990.11.10,181,83,右,右,,投手,支配下,2026/4/7,16,
阪神タイガース,18,伊原 陵人,2000.08.07,170,75,左,左,,投手,支配下,2026/4/7,18,
阪神タイガース,19,下村 海翔,2002.03.27,174,70,右,右,,投手,支配下,2026/4/7,19,
阪神タイガース,21,大竹 耕太郎,1995.06.29,184,87,左,左,,投手,支配下,2026/4/7,21,TRUE
阪神タイガース,26,椎葉 剛,2002.03.18,183,92,右,右,,投手,支配下,2026/4/7,26,
阪神タイガース,27,伊藤 将司,1996.05.08,179,83,左,左,,投手,支配下,2026/4/7,27,TRUE
阪神タイガース,28,今朝丸 裕喜,2006.06.02,188,75,右,右,,投手,支配下,2026/4/7,28,TRUE
阪神タイガース,29,髙橋 遥人,1995.11.07,181,82,左,左,,投手,支配下,2026/4/7,29,TRUE
阪神タイガース,30,門別 啓人,2004.07.10,183,86,左,左,,投手,支配下,2026/4/7,30,
阪神タイガース,35,才木 浩人,1998.11.07,189,90,右,右,,投手,支配下,2026/4/7,35,TRUE
阪神タイガース,36,畠 世周,1994.05.31,186,94,右,左,,投手,支配下,2026/4/7,36,
阪神タイガース,37,及川 雅貴,2001.04.18,184,86,左,左,,投手,支配下,2026/4/7,37,TRUE
阪神タイガース,41,村上 頌樹,1998.06.25,175,84,右,左,,投手,支配下,2026/4/7,41,TRUE
阪神タイガース,42,ルーカス,1996.09.23,191,94,左,左,,投手,支配下,2026/4/7,42,
阪神タイガース,44,早瀬 朔,2007.08.30,185,79,右,左,,投手,支配下,2026/4/7,44,
阪神タイガース,46,ラグズデール,1998.05.25,203,106,右,右,,投手,支配下,2026/4/7,46,
阪神タイガース,47,桐敷 拓馬,1999.06.20,179,92,左,左,,投手,支配下,2026/4/7,47,
阪神タイガース,48,茨木 秀俊,2004.06.08,183,87,右,右,,投手,支配下,2026/4/7,48,
阪神タイガース,49,工藤 泰成,2001.11.19,177,82,右,左,,投手,支配下,2026/4/7,49,TRUE
阪神タイガース,50,富田 蓮,2001.09.06,176,78,左,左,,投手,支配下,2026/4/7,50,
阪神タイガース,51,早川 太貴,1999.12.18,186,93,右,右,,投手,支配下,2026/4/7,51,
阪神タイガース,54,木下 里都,2001.01.27,183,89,右,右,,投手,支配下,2026/4/7,54,TRUE
阪神タイガース,55,能登 嵩都,2001.09.29,184,88,右,右,,投手,支配下,2026/4/7,55,
阪神タイガース,63,石黒 佑弥,2001.06.20,180,86,右,右,,投手,支配下,2026/4/7,63,TRUE
阪神タイガース,64,岡留 英貴,1999.11.07,181,96,右,右,,投手,支配下,2026/4/7,64,
阪神タイガース,65,湯浅 京己,1999.07.17,183,86,右,右,,投手,支配下,2026/4/7,65,
阪神タイガース,66,津田 淳哉,2001.08.27,179,82,右,右,,投手,支配下,2026/4/7,66,TRUE
阪神タイガース,69,石井 大智,1997.07.29,175,79,右,右,,投手,支配下,2026/4/7,69,
阪神タイガース,98,ドリス,1988.01.10,196,106,右,右,,投手,支配下,2026/4/7,98,TRUE
阪神タイガース,99,モレッタ,1996.04.15,188,102,右,右,,投手,支配下,2026/4/7,99,
阪神タイガース,2,梅野 隆太郎,1991.06.17,173,75,右,右,,捕手,支配下,2026/4/7,2,TRUE
阪神タイガース,12,坂本 誠志郎,1993.11.10,176,79,右,右,,捕手,支配下,2026/4/7,12,TRUE
阪神タイガース,17,伏見 寅威,1990.05.12,182,89,右,右,,捕手,支配下,2026/4/7,17,
阪神タイガース,39,榮枝 裕貴,1998.05.16,180,84,右,右,,捕手,支配下,2026/4/7,39,TRUE
阪神タイガース,43,町田 隼乙,2003.04.03,186,86,右,右,,捕手,支配下,2026/4/7,43,
阪神タイガース,57,長坂 拳弥,1994.04.28,173,84,右,右,,捕手,支配下,2026/4/7,57,
阪神タイガース,59,藤田 健斗,2001.10.18,173,78,右,右,,捕手,支配下,2026/4/7,59,
阪神タイガース,68,中川 勇斗,2004.01.27,172,76,右,右,,捕手,支配下,2026/4/7,68,
阪神タイガース,85,嶋村 麟士朗,2003.07.13,177,90,右,左,3/11 育成選手から支配下選手へ移行,捕手,支配下,2026/4/7,85,
阪神タイガース,0,元山 飛優,1998.12.04,181,82,右,左,,内野手,支配下,2026/4/7,0,
阪神タイガース,0,木浪 聖也,1994.06.15,179,81,右,左,,内野手,支配下,2026/4/7,0,TRUE
阪神タイガース,3,大山 悠輔,1994.12.19,181,96,右,右,,内野手,支配下,2026/4/7,3,TRUE
阪神タイガース,4,熊谷 敬宥,1995.11.10,175,69,右,右,,内野手,支配下,2026/4/7,4,TRUE
阪神タイガース,7,中野 拓夢,1996.06.28,172,68,右,左,,内野手,支配下,2026/4/7,7,TRUE
阪神タイガース,8,佐藤 輝明,1999.03.13,187,96,右,左,,内野手,支配下,2026/4/7,8,TRUE
阪神タイガース,9,立石 正広,2003.11.01,180,87,右,右,,内野手,支配下,2026/4/7,9,
阪神タイガース,24,ディベイニー,1997.04.13,185,88,右,右,,内野手,支配下,2026/4/7,24,
阪神タイガース,25,谷端 将伍,2004.03.17,178,80,右,右,,内野手,支配下,2026/4/7,25,
阪神タイガース,33,糸原 健斗,1992.11.11,175,80,右,左,,内野手,支配下,2026/4/7,33,TRUE
阪神タイガース,38,小幡 竜平,2000.09.21,184,78,右,左,,内野手,支配下,2026/4/7,38,TRUE
阪神タイガース,45,佐野 大陽,2002.02.14,178,79,右,右,,内野手,支配下,2026/4/7,45,
阪神タイガース,52,山田 脩也,2005.08.20,177,72,右,右,,内野手,支配下,2026/4/7,52,
阪神タイガース,56,百﨑 蒼生,2005.09.11,179,77,右,右,,内野手,支配下,2026/4/7,56,
阪神タイガース,62,植田 海,1996.04.19,175,69,右,左右,,内野手,支配下,2026/4/7,62,TRUE
阪神タイガース,67,髙寺 望夢,2002.10.17,178,78,右,左,,内野手,支配下,2026/4/7,67,TRUE
阪神タイガース,1,森下 翔太,2000.08.14,182,93,右,右,,外野手,支配下,2026/4/7,1,TRUE
阪神タイガース,5,近本 光司,1994.11.09,171,71,左,左,,外野手,支配下,2026/4/7,5,
阪神タイガース,32,濱田 太貴,2000.09.04,177,81,右,右,,外野手,支配下,2026/4/7,32,TRUE
阪神タイガース,34,岡城 快生,2003.06.23,183,83,右,右,,外野手,支配下,2026/4/7,34,
阪神タイガース,40,井坪 陽生,2005.03.17,177,89,右,右,,外野手,支配下,2026/4/7,40,
阪神タイガース,53,島田 海吏,1996.02.06,176,74,右,左,,外野手,支配下,2026/4/7,53,
阪神タイガース,58,前川 右京,2003.05.18,176,92,左,左,,外野手,支配下,2026/4/7,58,TRUE
阪神タイガース,60,小野寺 暖,1998.03.17,183,81,右,右,,外野手,支配下,2026/4/7,60,TRUE
阪神タイガース,61,豊田 寛,1997.04.28,178,87,右,右,,外野手,支配下,2026/4/7,61,
阪神タイガース,92,福島 圭音,2001.10.06,171,69,右,左,3/30 育成選手から支配下選手へ移行,外野手,支配下,2026/4/7,92,TRUE
阪神タイガース,122,小川 一平,1997.06.03,183,86,右,右,,投手,育成,2026/4/7,122,
阪神タイガース,123,松原 快,1999.08.24,180,93,右,右,,投手,育成,2026/4/7,123,
阪神タイガース,125,伊藤 稜,1999.11.08,178,88,左,左,,投手,育成,2026/4/7,125,
阪神タイガース,127,神宮 僚介,2003.05.27,178,81,右,右,,投手,育成,2026/4/7,127,
阪神タイガース,132,マルティネス,2000.01.10,190,96,右,右,,投手,育成,2026/4/7,132,
阪神タイガース,121,戸井 零士,2005.01.18,181,80,右,右,,内野手,育成,2026/4/7,121,
阪神タイガース,130,川﨑 俊哲,2001.05.02,174,72,右,左,,内野手,育成,2026/4/7,130,
阪神タイガース,133,アルナエス,2002.08.22,176,87,右,右,,内野手,育成,2026/4/7,133,
阪神タイガース,120,西 純矢,2001.09.13,184,99,右,右,,外野手,育成,2026/4/7,120,
阪神タイガース,129,山﨑 照英,2002.12.01,174,67,右,左,,外野手,育成,2026/4/7,129,
阪神タイガース,134,コンスエグラ,2000.09.24,190,93,右,右,,外野手,育成,2026/4/7,134,
横浜DeNAベイスターズ,0,デュプランティエ,1994.07.11,193,103,右,左,,投手,支配下,2026/4/7,0,
横浜DeNAベイスターズ,11,東 克樹,1995.11.29,170,80,左,左,,投手,支配下,2026/4/7,11,TRUE
横浜DeNAベイスターズ,12,竹田 祐,1999.07.05,184,96,右,右,,投手,支配下,2026/4/7,12,
横浜DeNAベイスターズ,13,伊勢 大夢,1998.03.07,183,94,右,右,,投手,支配下,2026/4/7,13,TRUE
横浜DeNAベイスターズ,14,石田 健大,1993.03.01,180,85,左,左,,投手,支配下,2026/4/7,14,
横浜DeNAベイスターズ,15,島田 舜也,2003.04.30,185,95,右,右,,投手,支配下,2026/4/7,15,
横浜DeNAベイスターズ,16,大貫 晋一,1994.02.03,181,76,右,右,,投手,支配下,2026/4/7,16,
横浜DeNAベイスターズ,18,小園 健太,2003.04.09,185,90,右,右,,投手,支配下,2026/4/7,18,
横浜DeNAベイスターズ,19,山﨑 康晃,1992.10.02,179,88,右,右,,投手,支配下,2026/4/7,19,TRUE
横浜DeNAベイスターズ,20,坂本 裕哉,1997.07.28,181,88,左,左,,投手,支配下,2026/4/7,20,
横浜DeNAベイスターズ,22,入江 大生,1998.08.26,187,90,右,右,,投手,支配下,2026/4/7,22,
横浜DeNAベイスターズ,24,吉野 光樹,1998.07.19,176,80,右,右,,投手,支配下,2026/4/7,24,
横浜DeNAベイスターズ,27,藤浪 晋太郎,1994.04.12,197,98,右,右,,投手,支配下,2026/4/7,27,
横浜DeNAベイスターズ,30,篠木 健太郎,2002.05.07,177,80,右,左,,投手,支配下,2026/4/7,30,TRUE
横浜DeNAベイスターズ,33,武田 陸玖,2005.06.06,173,78,左,左,,投手,支配下,2026/4/7,33,
横浜DeNAベイスターズ,35,橋本 達弥,2000.07.18,181,84,右,右,,投手,支配下,2026/4/7,35,
横浜DeNAベイスターズ,36,尾形 崇斗,1999.05.15,182,90,右,左,5/13 ソフトバンクより移籍,投手,支配下,2026/4/7,36,TRUE
横浜DeNAベイスターズ,38,松本 凌人,2001.12.05,185,92,右,右,,投手,支配下,2026/4/7,38,
横浜DeNAベイスターズ,39,若松 尚輝,2000.05.10,184,93,右,右,,投手,支配下,2026/4/7,39,TRUE
横浜DeNAベイスターズ,41,佐々木 千隼,1994.06.08,181,83,右,右,,投手,支配下,2026/4/7,41,
横浜DeNAベイスターズ,42,コックス,1997.03.28,193,106,左,左,6/8 自由契約,投手,支配下,2026/4/7,42,
横浜DeNAベイスターズ,42,ビド,1995.10.18,190,79,右,右,6/16 支配下選手登録,投手,支配下,2026/4/7,42,
横浜DeNAベイスターズ,43,深沢 鳳介,2003.11.05,177,80,右,右,,投手,支配下,2026/4/7,43,
横浜DeNAベイスターズ,45,森原 康平,1991.12.26,185,88,右,左,,投手,支配下,2026/4/7,45,
横浜DeNAベイスターズ,46,坂口 翔颯,2002.09.12,180,84,右,右,,投手,支配下,2026/4/7,46,
横浜DeNAベイスターズ,47,片山 皓心,1998.10.31,175,84,左,左,,投手,支配下,2026/4/7,47,
横浜DeNAベイスターズ,49,ルイーズ,1994.10.21,185,111,右,右,,投手,支配下,2026/4/7,49,TRUE
横浜DeNAベイスターズ,53,中川 颯,1998.10.10,184,80,右,左,,投手,支配下,2026/4/7,53,
横浜DeNAベイスターズ,54,石田 裕太郎,2002.01.22,180,80,右,右,,投手,支配下,2026/4/7,54,TRUE
横浜DeNAベイスターズ,59,平良 拳太郎,1995.07.12,180,80,右,右,,投手,支配下,2026/4/7,59,TRUE
横浜DeNAベイスターズ,62,レイノルズ,1998.04.19,203,113,右,左,,投手,支配下,2026/4/7,62,TRUE
横浜DeNAベイスターズ,64,中川 虎大,1999.10.02,178,85,右,右,,投手,支配下,2026/4/7,64,TRUE
横浜DeNAベイスターズ,65,宮城 滝太,2000.07.15,181,80,右,右,,投手,支配下,2026/4/7,65,TRUE
横浜DeNAベイスターズ,68,岩田 将貴,1998.06.16,178,81,左,左,,投手,支配下,2026/4/7,68,TRUE
横浜DeNAベイスターズ,92,堀岡 隼人,1998.09.11,183,87,右,右,,投手,支配下,2026/4/7,92,
横浜DeNAベイスターズ,93,庄司 陽斗,2001.05.31,184,93,左,左,6/1 育成選手から支配下選手へ移行,投手,支配下,2026/4/7,93,
